TERM,COLLEGE,DEPT,COURSE,SECT,CRN,TYPE,MIN CREDITS,MAX CREDITS,TITLE,CROSS-LIST,MAX SIZE,ACTUAL ENROLLMENT,PRIMARY INSTRUCTOR FIRST NAME,PRIMARY INSTRUCTOR LAST NAME,SECONDARY INSTRUCTOR FIRST NAME,SECONDARY INSTRUCTOR LAST NAME,START DATE,END DATE,MON-IND,TUE-IND,WED-IND,THU-IND,FRI-IND,SAT-IND,SUN-IND,BEGIN TIME,END TIME,BUILDING,ROOM
200810,VCU Life Sciences,ENVS,ENVS301,901,20123,LEC,3,3,INTRODUCTION TO METEOROLOGY,,35,37,John,Bernier,,,8/23/07,12/8/07,,T,,,,,,1900,2140,HIBBS,427
200810,VCU Life Sciences,ENVS,ENVS330,901,12717,LEC,3,3,ENVIRONMENTAL POLLUTION,SAME AS BIOL-332,100,81,Stephen,McIninch,,,8/23/07,12/8/07,,,W,,,,,1900,2140,LFSCB,151
200810,VCU Life Sciences,ENVS,ENVS335,901,12718,LEC,3,3,ENVIRONMENTAL GEOLOGY,SAME AS GEOG-335,30,40,Leonard,Ford,,,8/23/07,12/8/07,M,,,,,,,1600,1840,LFSCB,250
200810,VCU Life Sciences,ENVS,ENVS411,901,12719,LEC,3,3,OCEANOGRAPHY,SAME AS GEOG-411,45,48,Steven,Oden,,,8/23/07,12/8/07,M,,,,,,,1900,2140,LFSCB,253
200810,VCU Life Sciences,ENVS,ENVS490,901,12720,LEC,3,3,RES SEM IN ENV STUDIES WI,,15,22,J,Fox,,,8/23/07,12/8/07,,T,,,,,,1600,1840,LFSCB,253
200810,VCU Life Sciences,ENVS,ENVS491,2,19814,LEC,1,1,TOP:ECOLOGICL OUTREACH SRV LRN,SAME AS BIOL-391,25,3,Edward,Crawford,,,8/23/07,12/8/07,,,,,,,,,,,
200810,VCU Life Sciences,ENVS,ENVS492,1,12721,IND,1,1,INDEPENDENT STUDY,,10,1,J,Fox,,,8/23/07,12/8/07,,,,,,,,,,,
200810,VCU Life Sciences,ENVS,ENVS492,3,12722,IND,3,3,INDEPENDENT STUDY,,5,1,J,Fox,,,8/23/07,12/8/07,,,,,,,,,,,
200810,VCU Life Sciences,ENVS,ENVS493,3,12724,FLD,3,3,ENVIRONMNTL STUDIES INTERNSHIP,,30,1,J,Fox,,,8/23/07,12/8/07,,,,,,,,,,,
200810,VCU Life Sciences,ENVS,ENVS521,901,19445,LEC,3,3,INTRO TO GEOGRAPHIC INFO SCI,,25,13,Karl,Huber,,,8/23/07,12/8/07,,,,R,,,,1900,2140,HIBBS,407
200810,VCU Life Sciences,ENVS,ENVS591,901,21103,LEC,1,1,TOPIC:SUPERFUND & THE FUTURE,,15,7,Peter,Defur,,,8/23/07,12/8/07,,,W,,,,,1700,1750,OLVED,2119
200810,VCU Life Sciences,ENVS,ENVS591,C70,18260,LEC,3,3,TOP: VA WATER WOOD & WLDLFE,,0,13,Gregory,Garman,,,7/8/07,10/30/07,M,T,W,R,F,,,800,1600,OFCMP,0
200810,VCU Life Sciences,ENVS,ENVS591,905,20912,LEC,3,3,TOP:ENVIRONMENTAL ENGINEERING,,15,6,Mohammed,Karim,,,8/23/07,12/8/07,M,,,,,,,1900,2140,LFSCB,103
200810,VCU Life Sciences,ENVS,ENVS591,C90,19083,LEC,3,3,TOP: METEOROLOGY FOR TEACHERS,,0,22,Jo,Mulvany,,,9/15/07,12/15/07,,,,R,,,,1000,1500,OFCMP,0
200810,VCU Life Sciences,ENVS,ENVS591,C90,19083,LEC,3,3,TOP: METEOROLOGY FOR TEACHERS,,0,22,Jo,Mulvany,,,9/15/07,12/15/07,,,W,,,,,1700,1915,OFCMP,0
200810,VCU Life Sciences,ENVS,ENVS601,901,12727,LEC,3,3,SURV IN ENVIRONMENTAL STUDIES,,15,30,Peter,Defur,,,8/23/07,12/8/07,,,,R,,,,1600,1840,LFSCB,255
200810,VCU Life Sciences,ENVS,ENVS603,901,12728,LEC,3,3,ENVIRONMENTAL RESEARCH METHOD,,0,17,James,Mays,,,8/23/07,12/8/07,M,T,,,,,,1600,1840,LFSCB,103
